1 131 130   5  72
  2 132 116 131  27
  3 133  87 131   6
  4 131   5   6  27
  5 134 135  13 115
  6 135  10   1 129
  7 136 129 135  70
  8 135   1  13  70
  9  54 137 138 113
 10 137 113  67  68
 11 137  38  91  90
 12 137  67 139 126
 13 140  42  43 101
 14 137  68 138 113
 15 137  16 138 127
 16 137 127  17  16
 17 137 127 126  17
 18 136 135 134 115
 19 136  56 134  88
 20 134 115   4  56
 21 134  88   4  12
 22 134 141  88  12
 23 142 125 124  19
 24 142 125  19  18
 25  66 142 139 125
 26  52 142 139 111
 27 142  36  93  92
 28  36  78  37 142
 29 136 128  15 129
 30  18 142 139  78
 31 136 134 141  88
 32 136 134 135  73
 33 141  41   3  11
 34 141 143  11  73
 35 134 141  12  73
 36 141  11   3  73
 37 136 141  41  88
 38 144  32  82  83
 39 144 121  23  22
 40  96 144 107  97
 41  22 144 145  82
 42 144 121 120  23
 43 144  61 107 106
 44 144 120  62  61
 45  62 144 145 121
 46 132 133 140 101
 47  97 146  98  83
 48 146  24 120 119
 49 146  84  23  24
 50 144  82  33 145
 51 136 141  74  41
 52 145  21  82  81
 53 146  23  84  83
 54 133  42 140 101
 55 132 133  28  87
 56 133   7   6  42
 57 133 101  28   7
 58  51 147 142 110
 59 147  35  94  93
 60  35  79  36 147
 61 132 133 130 140
 62 136  89  88  40
 63 136 138  89  40
 64 147 148  94  35
 65 142  78  37 139
 66  19 147 142  79
 67  99  84  30  98
 68 143  14  74   2
 69  98 149  99  84
 70 149  25 150  85
 71 149  24 119  25
 72 105 146  60 149
 73  84  83  31  98
 74 146 106  60  61
 75  46 105  98  47
 76 149  85  84  24
 77 143 129  14  10
 78 132  43 140 102
 79 140  71 151 102
 80 133 130 140  42
 81 140  42 130   8
 82 140  71  43   8
 83 136 128  70  69
 84 136 143 141  73
 85 136  14 143 129
 86 136  56  88  89
 87 136  70 128 129
 88 135 143  73  10
 89  99 149 105 104
 90  45 104  99  46
 91 150 118 117  26
 92 150 104 103  58
 93 150  58 117  59
 94 144  83  97  32
 95 105  99  46  98
 96 150  59 117 118
 97 150  45 104  99
 98 138  68  69 114
 99 128  69 136 138
100 138 113  55  54
101  90  54 137 138
102 138  76  15  16
103 138  15 136 128
104  39 138 137  76
105 138 127  69  68
106 138  55  89  90
107 138  89  55 136
108 138  68 114 113
109 138  16 128 127
110 138  69 127 128
111  48 107  96  49
112  96 145 108 107
113  95 145 108  96
114  63 145 148 122
115 145 121  63  62
116  61 146 144 120
117 144  97 146 106
118 139  38  77  37
119  32  82  33 144
120 107  62 144 145
121 139  53  92  52
122 110 142  65 147
123 147  20 124 123
124 139  66 125  67
125 137  91  53  54
126  53 137 112 139
127 111  66 142 139
128 109  94  51 147
129 139  78  17  18
130 139 142  92  37
131 139  17 137 126
132 139 126  67 125
133 139 126 125  18
134 141  74  41  11
135  93  51 147 142
136 143  74  11   2
137 143   2  10  14
138 136  89  55  56
139 136 135 129 143
140 143  11  73  10
141 136  74 143  14
142 136  15  14 129
143 132 131 133  87
144 132 151 140 130
145 145  21 122  22
146 132 140 151 102
147 151  72   9  71
148 132  57 151 116
149 151   9  72  57
150 151  71 130  72
151 132  28  29  86
152 132 117 116  27
153 132 116  58  57
154  58 132 150 117
155 136  88  41  40
156 132 131 116 151
157 132  28 101 100
158 132 151  57 102
159  44 132 150 103
160 132  43 102  44
161 132 140  43 101
162 132 133 131 130
163 118 149  25 150
164  49 108  95  50
165  95 148 109 108
166 123 148  64 147
167 148 109 108  63
168  94 148 109  95
169 148  63 122  64
170 145  22  82  21
171 148  20 147 123
172 148  34 145  95
173 148  64 147 109
174 148 123  21  20
175 148 123 122  21
176  81 148  34 145
177 147 123  65  64
178 137  68  67 126
179 139  78  77  17
180 147  20  19 124
181  80 148  20 147
182 125  18 142 139
183  50 109  94  51
184 108  63 145 148
185  21 148 145 122
186 147 148 109  94
187 148 122 123  64
188 106  98  47  97
189 144 121  62 120
190  23 144 146 120
191 145 122 121  22
192 145 108  62  63
193  91  38 137 139
194 146 119 120  61
195 144 145  96 107
196 146  61  60 119
197  83  23 144 146
198 149 150 104  99
199  59 150 149 118
200  26 150 132 117
201 150 118  26  25
202  29 150 132  86
203 132 116 117  58
204 132  27  87  26
205 131  72 151 130
206 131   5  27 116
207 140   8  43  42
208 100  44 132 150
209 151  72 116  57
210 140 130 151  71
211 136  70 135 115
212  75 138  15 136
213 136  73 135 143
214 136 134  56 115
215  56 136 114  55
216 135  73   1  10
217  69 136 138 114
218 135  70  13 115
219 143   2  11  10
220 135  73  13   1
221 137  90  39  38
222  55 136 114 138
223 135   1  70 129
224 138  54  55  90
225 127 137  68 138
226 138  75  40 136
227 139  67 112  66
228 142 110 111  52
229 136  74 141 143
230 139  66 112 111
231 142 124  66  65
232 137 113 112  67
233 142 110  65 111
234 142 111  65  66
235 147 110  64  65
236 147 110  51 109
237 145  34  33  95
238  39  75  40 138
239 147 109  64 110
240 147 124  65 123
241 148  64 109  63
242 145  33  34  81
243 109  95  50  94
244 136  14  15  75
245 145 148  95 108
246 136  75  74  14
247 108  96  49  95
248 144  61  62 107
249 142  65 147 124
250 134 135  73  13
251  34  80  35 148
252 142  18  79  78
253 147  80  19  20
254 138  39  75  76
